,CTY_SCR_DAY,CTY_SCR_NBR_DY_01
8903,0.776541,5682
10090,0.8323125,4927
11659,0.8858607,5911
8796,0.9806829,7175
12212,0.9853821,6110
8488,0.987318,5889
7108,1.007252,5843
10834,1.0348312,8028
4545,1.0442577,6650
10669,1.0807499,8255
8066,1.0882827,6467
6512,1.0888701,6764
10700,1.0957313,8046
10084,1.1141159,6673
4900,1.126906,7888
6436,1.1306411,9006
77,1.1385711,6498
703,1.1385875,8130
8798,1.1487275,7641
752,1.1605557,8274
10875,1.1634055,6434
8411,1.1664352,8991
8399,1.166588,8437
11153,1.1675467,8711
463,1.1697232,8444
9012,1.1764473,8323
6119,1.1804024,9276
6629,1.1805486,8804
11694,1.1841607,7779
1686,1.1894826,9150
4591,1.1910602,8631
9929,1.1917124,7088
10547,1.1937489,9329
3597,1.1956826,8879
10612,1.2016143,9366
9112,1.2022507,7147
6451,1.2023136,9391
2143,1.2105117,8863
4812,1.2118874,6988
6985,1.2260794,9152
5755,1.2321402,7494
7651,1.2357154,9743
3616,1.2387077,9428
10594,1.2417541,9459
11326,1.2460053,7618
10395,1.2518649,9819
7547,1.2568915,7760
9536,1.2660524,7780
7596,1.272374,9736
8260,1.2734047,9412
7549,1.2842803,8002
10562,1.2899045,9858
6671,1.2930297,9572
3205,1.2939329,9509
5233,1.2998569,9878
10512,1.3013027,10222
10821,1.3034528,9610
7562,1.3040668,7630
7905,1.3078031,9160
4567,1.3097974,7732
6836,1.3193478,9454
10378,1.3198996,10153
4302,1.3203083,9928
7344,1.3225303,7912
10652,1.3227342,9633
8836,1.3234501,9529
323,1.329136,9307
6716,1.3323375,9713
2435,1.332445,9758
7550,1.3346562,7966
7122,1.3391422,9653
1844,1.3392992,9728
10703,1.3412618,9838
7770,1.3447519,10302
5413,1.347315,7945
2429,1.3606367,10295
5615,1.3717374,8372
6565,1.3781854,10252
3204,1.3824851,10048
4131,1.3850472,10112
1366,1.3908513,10051
5502,1.3908972,10192
10172,1.4015598,8398
5112,1.4054838,10689
3181,1.4077298,6948
9110,1.4162043,8385
9999,1.4364464,8575
8680,1.4467754,8095
453,1.4478031,10098
3193,1.4483182,10464
7601,1.4808148,11265
12112,1.4846382,10322
1243,1.4868389,10268
7729,1.4880808,10180
9793,1.4893633,8967
3867,1.5027919,10934
5514,1.507937,9226
9735,1.5088146,9122
32,1.5323325,9626
4056,1.538541,10604
7733,1.5449989,8320
3192,1.5471365,11146
5269,1.547416,8695
580,1.5490966,10691
3350,1.5528435,10807
1582,1.5649499,9596
579,1.5659412,8612
3416,1.576274,11854
11083,1.5766395,8980
8015,1.5858302,8723
9873,1.599335,9681
8225,1.6056692,9698
748,1.6183524,10092
7328,1.749629,9322
7890,1.7513001,9809
12198,1.7533517,9745
4421,1.7590555,9002
1414,1.7710075,10554
4278,1.8427161,9865
3847,1.9055872,9704
3825,1.913052,10235
3568,1.9316088,9686
7732,1.9512326,10098
7498,1.970823,10394
2687,2.000388,9864
2685,2.1049882,10266
9866,0.8402493000000001,5108
11345,0.8799610000000001,5178
3835,0.9756229999999999,6718
8450,0.9813681000000001,5883
11500,1.0140287000000001,6885
6425,1.0246965000000001,8021
3206,1.0828406000000002,8306
10543,1.1027761999999999,8671
8195,1.1124882999999999,8246
6613,1.1186690000000001,8253
11657,1.1276476999999998,6990
10546,1.1291383999999998,8880
4752,1.1569973999999998,8412
10701,1.1593771000000002,8526
4822,1.1650893999999998,8534
7548,1.1758646000000001,8557
2016,1.1903708999999998,7833
10613,1.2003366000000002,9276
7552,1.2239280000000001,8861
11814,1.2430856000000001,7648
8429,1.2500997999999999,9114
9111,1.2580069999999999,7768
10805,1.2623528999999998,9144
1123,1.2626038999999998,8881
7057,1.2953971000000002,10295
12045,1.3240131000000002,8067
10891,1.3302991000000002,7616
5083,1.3821141000000001,9942
10774,1.3883678999999998,10130
705,1.4077441000000002,10070
7453,1.4498236999999998,10952
2992,1.5211131000000002,7488
9524,1.5706347999999999,9605
2243,1.5720201999999999,8836
2688,1.6310988000000002,8040
1434,1.6550706000000002,11353
11140,1.6745171000000003,9426
11961,1.8421334999999999,10339
4430,2.0891919999999997,10563
4399,2.1333792999999996,10505
2735,2.1697447999999997,10747